Name,Birthday,Sex,email,Address,Company,Profession,Salary_USD$,foundation_date,city_id,city_name,state_id,state_code,state_name,Funs_club
Jodi Aguilar,2004-07-28,N,second@gmail.com,"32311 King Cove Apt. 982
Port Suzannetown, SD 88332",Gamble Ltd,Photographer,2185,2018-09-13,112596,Bothell East,1462,WA,Washington,SF German Stammtisch
Jennifer Wright,1991-09-25,F,able@gmail.com,"86154 April Views
Port Daniel, TN 76378","Mitchell, White and Carlson",Senior tax professional/tax inspector,1890,2018-02-05,124630,Prairie Ridge,1462,WA,Washington,The Chicago Graphic Design Meetup Group
Lisa Smith,1970-11-21,N,bring@gmail.com,"3378 Natalie Bridge
Brandtchester, CO 17623",Nguyen-Curtis,Child psychotherapist,4805,2017-08-25,116140,Enlow,1422,PA,Pennsylvania,Greek Language & Culture Meetup (NYC)
Sarah Myers,1950-01-15,M,spring@gmail.com,"USS White
FPO AA 78804","Meyers, Cole and Thompson",Paramedic,4014,2019-07-28,118548,Hollis,1404,NH,New Hampshire,The New York City Hebrew Language Meetup Group
Ronald Ramos,1998-07-20,N,think@gmail.com,"18026 Moore Parks Apt. 747
Kyleberg, OH 16938","Rivera, Yates and Lucas",Accommodation manager,3735,2018-05-18,119576,King,1447,NC,North Carolina,The New York City Hiking Group
Alexis Nguyen,1989-01-27,F,series@gmail.com,"96674 Natasha Mountains
East Cheryl, MA 51512",Freeman LLC,"Engineer, energy",4269,2017-08-22,117924,Hampstead,1447,NC,North Carolina,The NYC Hindi Meetup Group
Matthew Carter,1984-10-09,N,challenge@gmail.com,"77618 Burns Creek Apt. 478
West Kristenchester, ID 42036","Dyer, Baxter and Underwood",Community education officer,3393,2019-08-02,119988,Lake Villa,1425,IL,Illinois,The New York City Hinduism and Buddhism Meetup Group
Joseph Becker,1957-02-20,F,series@gmail.com,"497 Harvey Vista Apt. 625
Rowlandside, WA 78656",Moran-Blanchard,"Education officer, community",3184,2017-11-27,126991,State Center,1459,IA,Iowa,Chicago Area Homebirth Meetup
Lisa Martin,1995-11-23,N,method@gmail.com,"41067 James Gateway Suite 339
New Masonmouth, WI 33394","Mejia, Wilkins and Jackson",Manufacturing engineer,2415,2018-08-15,116111,Emporia,1406,KS,Kansas,The New York City Information Architecture Meetup Group
Olivia Graham,1982-01-24,F,movie@gmail.com,"2862 King Alley
Johnsonstad, NV 55279","Ramos, Robinson and Hughes",Personal assistant,2624,2018-01-04,114600,Coon Rapids,1420,MN,Minnesota,The New York City Stock Traders  Meetup Group
Lori Hill,1990-08-08,M,might@gmail.com,"86527 Alexander Vista
Port Matthewside, IL 21991",Avila Inc,Make,2756,2019-10-24,111494,Arroyo Grande,1416,CA,California,The San Francisco Investor's Business Daily Meetup Group
Steven Rivera,1942-06-12,N,identify@gmail.com,"24131 Tommy Keys
New Lisa, AR 61065",Krueger PLC,Microbiologist,2085,2019-06-25,127849,Troy,1453,ME,Maine,The New York City Pro-Peace Meetup Group
Sandra Lin,1953-06-28,F,team@gmail.com,"373 Johnson Neck Suite 085
North Kevin, OR 68487",Carpenter-Robinson,Armed forces training and education officer,3499,2019-04-28,125672,Saint Joseph,1425,IL,Illinois,The NYC Indian Meetup Group
Kim Roberson,1975-11-10,M,tax@gmail.com,"7079 Chapman Glen
New Jennifer, NC 53588","Allen, Campbell and Flores",Museum education officer,3404,2018-10-06,115984,Elk County,1406,KS,Kansas,Chicagoland Independent & Documentary Films/Movies[CIDFilms]
Brett Miller,1954-03-17,M,seven@gmail.com,"0860 Coleman Springs Apt. 329
Pinedamouth, OR 47827",Erickson-Johnson,"Therapist, music",1761,2020-03-16,119698,Kodiak,1400,AK,Alaska,The New York City Indie Film Meetup Group
Fernando Schmidt,1972-02-06,M,last@gmail.com,"613 Tate Groves Apt. 368
Jimenezland, CA 58954",Allen-Bailey,Early years teacher,2667,2018-08-23,115688,East Helena,1446,MT,Montana,New York Investing Meetup
Robert Barr,1964-12-08,F,car@gmail.com,"25002 Lopez Valleys
New Danielview, IN 29484","Ryan, Young and Bishop","Engineer, control and instrumentation",3720,2018-05-12,117170,Gering,1408,NE,Nebraska,The New York City Irish Language Meetup Group
Jacob Howard,1962-03-22,N,hold@gmail.com,"07057 Michael Parks
Grahamton, IL 33174","Ortiz, Rose and Maldonado",Records manager,4971,2018-05-31,113760,Charles Village,1401,MD,Maryland,The Chicago Italian Language Meetup Group
David Cox,1944-04-14,N,interest@gmail.com,"7373 Lori Expressway Suite 551
West Anthonychester, NE 64555","Brooks, Leblanc and Davis",Music therapist,2191,2019-01-14,141450,Liberty Center,4851,OH,Ohio,"New York City Italian Language, Food, & Culture Club"
Kristina Reed,1950-08-01,N,draw@gmail.com,"072 Robert Garden Suite 048
Rebeccachester, WA 73425","Martin, Medina and Phillips","Conservation officer, historic buildings",4076,2017-12-28,129637,Wyoming,1420,MN,Minnesota,The San Francisco Italian Language Meetup Group
Mark Bailey,1944-03-16,M,little@gmail.com,"99553 Christensen Stream Suite 190
East Andrewland, KY 88726",Hernandez Ltd,Cabin crew,4217,2018-09-06,118207,Hazelwood,1451,MO,Missouri,Chicago Japanese Language Meetup Group
Robert Walker,1940-04-03,N,against@gmail.com,"15404 Sanchez Cape Apt. 194
South Misty, DE 27475","Miller, Henson and Banks",Land/geomatics surveyor,3577,2018-07-03,113818,Cheat Lake,1429,WV,West Virginia,The New York City Japanese Language Meetup Group
Joel Hamilton,1957-12-25,N,account@gmail.com,"758 Bennett Street
Wheelerborough, ME 46453",Krueger-Williams,Chartered accountant,4328,2018-03-23,129566,Woodstock,1409,VT,Vermont,The New York City Java Meetup Group
Jeremy Curtis,1993-09-03,N,development@gmail.com,"582 Garcia Via Apt. 539
Lake Christinaberg, MS 87540",Taylor Ltd,Electrical engineer,3790,2018-08-17,116183,Escobares,1407,TX,Texas,The New York City Jewelry Making Meetup Group
Rebecca Murphy,1986-08-05,M,imagine@gmail.com,"85944 Christopher Circles
Nortonville, AZ 98580",Dennis-Krueger,Camera operator,2741,2018-08-03,122588,Natchitoches,1457,LA,Louisiana,The New York City Karaoke Meetup Group
Anthony Kelley,1942-06-15,N,newspaper@gmail.com,"83299 Lindsey Locks Apt. 343
Amyview, LA 39318",Garcia and Sons,"Education officer, community",4908,2019-07-24,126497,Sleepy Hollow,1425,IL,Illinois,SFBA Karaoke Meetup! :)
Cassidy Sanford,1981-05-19,M,leave@gmail.com,"107 John Ferry
Mooreton, MD 41421","Ferguson, Williams and Larson",Energy manager,3590,2019-10-08,127604,Thornton,1416,CA,California,Integral New York's Ken Wilber Meetup
Becky Spencer,2002-02-11,N,nation@gmail.com,"09556 Molina Lake Apt. 378
South Dannyland, NH 61457","Schroeder, Olson and Bullock",Lobbyist,3477,2018-06-18,116003,Elkhorn,1416,CA,California,The New York City Korean Language Exchange Meetup
Robert Carr,1952-03-14,N,very@gmail.com,"35727 Monica Passage
West Amanda, VA 70262",Joseph Ltd,Trade mark attorney,3759,2018-01-06,129342,Wilton,1435,CT,Connecticut,New York Lacrosse Club
Cassandra Lopez,1959-12-15,M,around@gmail.com,"997 Felicia Ways Apt. 077
South Georgeborough, SC 03430","Pacheco, Burgess and Bridges",Police officer,2944,2019-01-15,122627,Nelson County,1427,VA,Virginia,THE NEW YORK CITY MALTESE MEETUP GROUP
Brandon Saunders,1951-02-13,M,night@gmail.com,"043 Robin Extension Apt. 708
North Sherryville, NC 37358",Hamilton Ltd,Broadcast journalist,3446,2018-01-16,128254,Village of the Branch,1452,NY,New York,New York City Meditation and Celebration
Denise Bowman,1968-02-08,F,chance@gmail.com,"5863 Farmer Valley Suite 439
Howemouth, HI 70056","Figueroa, White and Ramos",Professor Emeritus,4937,2018-04-18,127577,Third Lake,1425,IL,Illinois,The New York City Metaphysics Meetup Group
Jennifer Murphy,1949-12-12,N,evidence@gmail.com,"26113 Douglas Mills
Harrisview, DC 50900","Howe, Anderson and Perez","Engineer, land",4550,2017-05-26,123978,Pecatonica,1425,IL,Illinois,The New York City Miniature Pinscher Meetup Group
Michael Andrews,1958-01-16,F,store@gmail.com,"91996 Logan Villages
Mitchellfurt, WA 41537",Soto-Simmons,Product manager,3239,2020-02-21,117517,Grant County,1423,NM,New Mexico,The Chicagoland Fun & Food Fans Meetup Group
Jacqueline Patrick,1979-11-22,F,continue@gmail.com,"90501 Patrick Mall Apt. 783
New Barbarachester, RI 22009","Lewis, Ryan and Warren",Social researcher,2347,2018-04-12,118115,Harvey County,1406,KS,Kansas,Chicago MySQL User Group Meetup
Taylor Miller,1940-11-10,M,name@gmail.com,"473 Dyer Street
New Angela, NC 61556",Garcia PLC,Sub,4988,2017-09-30,116331,Fairlea,1429,WV,West Virginia,"SQL NYC, The NoSQL & NewSQL Database Meetup"
Lori Ware,1961-08-08,F,form@gmail.com,"USCGC Madden
FPO AA 30665","Potter, Richardson and Davidson",Commercial horticulturist,4929,2018-11-03,127513,Tequesta,1436,FL,Florida,#SFMySQL Meetup
